,DetectedState,DateAnnounced
489,Maharashtra,20/04/2020
490,Maharashtra,20/04/2020
491,Maharashtra,20/04/2020
492,Maharashtra,20/04/2020
493,Maharashtra,20/04/2020
494,Maharashtra,20/04/2020
495,Maharashtra,20/04/2020
496,Maharashtra,20/04/2020
497,Maharashtra,20/04/2020
498,Maharashtra,20/04/2020
499,Maharashtra,20/04/2020
500,Maharashtra,20/04/2020
501,Maharashtra,20/04/2020
502,Maharashtra,20/04/2020
503,Maharashtra,20/04/2020
504,Maharashtra,20/04/2020
505,Maharashtra,20/04/2020
506,Maharashtra,20/04/2020
507,Maharashtra,20/04/2020
508,Maharashtra,20/04/2020
509,Maharashtra,20/04/2020
510,Maharashtra,20/04/2020
511,Maharashtra,20/04/2020
512,Maharashtra,20/04/2020
513,Maharashtra,20/04/2020
514,Maharashtra,20/04/2020
515,Maharashtra,20/04/2020
516,Maharashtra,20/04/2020
517,Maharashtra,20/04/2020
518,Maharashtra,20/04/2020
519,Maharashtra,20/04/2020
520,Maharashtra,20/04/2020
521,Maharashtra,20/04/2020
522,Maharashtra,20/04/2020
523,Maharashtra,20/04/2020
524,Haryana,20/04/2020
525,Rajasthan,20/04/2020
526,Rajasthan,20/04/2020
527,Rajasthan,20/04/2020
528,Rajasthan,20/04/2020
529,Rajasthan,20/04/2020
530,Rajasthan,20/04/2020
531,Rajasthan,20/04/2020
532,Rajasthan,20/04/2020
533,Rajasthan,20/04/2020
534,Rajasthan,20/04/2020
535,Rajasthan,20/04/2020
536,Rajasthan,20/04/2020
537,Rajasthan,20/04/2020
538,Rajasthan,20/04/2020
539,Rajasthan,20/04/2020
540,Rajasthan,20/04/2020
541,Rajasthan,20/04/2020
542,Rajasthan,20/04/2020
543,Rajasthan,20/04/2020
544,Rajasthan,20/04/2020
545,Rajasthan,20/04/2020
546,Rajasthan,20/04/2020
547,Rajasthan,20/04/2020
548,Rajasthan,20/04/2020
549,Rajasthan,20/04/2020
550,Rajasthan,20/04/2020
551,Rajasthan,20/04/2020
552,Rajasthan,20/04/2020
553,Rajasthan,20/04/2020
554,Rajasthan,20/04/2020
555,Rajasthan,20/04/2020
556,Rajasthan,20/04/2020
557,Rajasthan,20/04/2020
558,Rajasthan,20/04/2020
559,Rajasthan,20/04/2020
560,Rajasthan,20/04/2020
561,Rajasthan,20/04/2020
562,Rajasthan,20/04/2020
563,Rajasthan,20/04/2020
564,Rajasthan,20/04/2020
